tempmax,tempmin,temp,humidity,precip,precipprob,precipcover,windspeed,sealevelpressure,month,dayofweek,weekofyear,temp_humidity,temp_range,heat_index,conditions
30,25.7,28.1,75.7,0,0,0,18.4,999.3,7,2,31,2127.17,4.3,187.1955315,Partially cloudy
34.8,28,29.9,86.9,0.98,100,8.33,18.3,998.9,8,1,34,2598.31,6.8,170.8729812,"Rain, Partially cloudy"
32,27,28.8,91.5,2.688,100,8.33,18.4,998.9,8,0,31,2635.2,5,172.9245962,"Rain, Partially cloudy"
34.5,27,29.7,80.6,4.597,100,12.5,20.5,998.9,7,5,29,2393.82,7.5,176.3619217,"Rain, Partially cloudy"
33,29,30.7,78.4,0,0,0,14.8,1002.9,8,4,33,2406.88,4,171.6135234,Partially cloudy
40.8,28.2,34.8,46.7,0.23,100,4.17,37.1,998.9,6,0,24,1625.16,12.6,138.4866547,"Rain, Partially cloudy"
32.7,26,27.8,88.1,1.701,100,4.17,14.8,1003.8,8,6,33,2449.18,6.7,182.7304238,"Rain, Overcast"
37,29,32.4,72,0.1,100,4.17,9.4,999,7,1,30,2332.8,8,163.9522657,"Rain, Partially cloudy"
36.9,28,32.4,75.1,0.2,100,4.17,11.2,999,7,5,29,2433.24,8.9,163.4711811,"Rain, Partially cloudy"
34.8,25,30,74.5,0,0,0,21.2,1004,8,2,34,2235,9.8,176.4856958,Partially cloudy
35,28.8,31.3,75,7.447,100,12.5,13,999,8,1,33,2347.5,6.2,169.3132002,"Rain, Partially cloudy"
35.6,28.3,31.5,81.7,0.17,100,4.17,13,999,7,5,29,2573.55,7.3,165.5155156,"Rain, Partially cloudy"
38,29.1,33.2,67.7,0.149,100,4.17,14.1,999,7,2,29,2247.64,8.9,159.8095673,"Rain, Partially cloudy"
39.5,31.4,35.3,59.8,5.104,100,4.17,14.8,999,6,3,26,2110.94,8.1,147.8768176,"Rain, Partially cloudy"
34,26.3,30.2,61.2,0.51,100,4.17,18.4,999,6,1,25,1848.24,7.7,171.571392,"Rain, Partially cloudy"
36,27,31.3,64.8,0,0,0,22.3,1002.3,8,1,35,2028.24,9,168.2116233,Partially cloudy
36.1,27,31.6,66.9,0,0,0,18.4,1002.5,8,2,35,2114.04,9.1,167.4529692,Partially cloudy
36.9,27,32.1,66.5,0,0,0,14.8,1002.9,8,3,35,2134.65,9.9,164.8803401,Partially cloudy
37,27.4,32,68,0,0,0,11.2,1003.7,8,4,35,2176,9.6,165.7188008,Partially cloudy
37,27,32.1,63.2,0,0,0,16.6,1002.5,8,5,35,2028.72,10,163.6604788,Partially cloudy
36.2,29,32.5,62.6,0,0,0,22.3,1002.7,8,6,35,2034.5,7.2,161.5075953,Partially cloudy
35.6,28,31.5,61.5,0,0,0,22.5,1003.5,8,0,36,1937.25,7.6,165.5745938,Partially cloudy
37.6,26,31.6,63,0,0,0,11.2,1007.3,9,6,37,1990.8,11.6,165.9325876,Partially cloudy
37.2,27.5,32.3,56.7,0,0,0,14.8,1005,9,0,38,1831.41,9.7,158.5153632,Partially cloudy
37.6,27,32.5,58.3,0,0,0,9.4,1004.6,9,1,38,1894.75,10.6,158.9015374,Partially cloudy
36.7,29,32.1,61.8,0,0,0,14.8,1004.6,9,2,38,1983.78,7.7,162.9489034,Partially cloudy
36,27.5,31.6,61.1,0,0,0,56.1,1005.6,9,3,38,1930.76,8.5,164.8628846,Partially cloudy
38.3,30,33.2,65.3,0.881,100,8.33,18.4,999,6,0,26,2167.96,8.3,159.2836875,"Rain, Partially cloudy"
36.7,27,31.4,77.6,1.494,100,4.17,18.4,999,8,6,31,2436.64,9.7,168.0473333,"Rain, Partially cloudy"
36,27,30.4,72,0,0,0,16.6,1004.1,9,6,38,2188.8,9,174.4197761,Partially cloudy
35,26,29.7,69.3,0,0,0,14.8,1003.6,9,0,39,2058.21,9,177.8477252,Partially cloudy
34.9,28,30.7,78.9,4.253,100,4.17,18.4,999,8,2,31,2422.23,6.9,171.414529,"Rain, Partially cloudy"
32.1,25,28.3,69.3,0,0,0,22.5,1007.1,9,2,39,1961.19,7.1,185.4678904,Partially cloudy
33.1,24,28.2,62,0,0,0,22.7,1005.9,9,3,39,1748.4,9.1,182.1185044,Partially cloudy
34,23,28.3,54.5,0,0,0,20.5,1004.7,9,4,39,1542.35,11,174.0563027,Clear
35,24.4,29.3,57.7,0,0,0,16.6,1005.9,9,5,39,1690.61,10.6,172.9499427,Clear
34.2,25,29.4,61,0,0,0,11.5,1007.9,9,6,39,1793.4,9.2,175.3262491,Partially cloudy
34,23,28.6,61.9,0,0,0,14.8,1009.5,9,0,40,1770.34,11,180.0022847,Clear
34,22,28.4,61.4,0,0,0,18.4,1010.9,9,1,40,1743.76,12,180.6288181,Clear
35,21,28.5,55.2,0,0,0,20.5,1012.1,9,2,40,1573.2,14,173.9867721,Clear
35,27.2,30.6,81.3,7.492,100,8.33,18.4,999,8,3,31,2487.78,7.8,170.8158504,"Rain, Partially cloudy"
36,27.9,30.6,84.4,7.596,100,12.5,18.4,999,7,6,28,2582.64,8.1,168.7963587,"Rain, Partially cloudy"
34.2,21,27.4,65.3,0,0,0,11.2,1014.4,10,3,42,1789.22,13.2,188.6158108,Partially cloudy
35,22.2,28.4,60.1,0,0,0,16.6,1014.3,10,4,42,1706.84,12.8,179.5384163,Clear
