tempmax,tempmin,temp,humidity,precip,precipprob,precipcover,windspeed,sealevelpressure,month,dayofweek,weekofyear,temp_humidity,temp_range,heat_index,condition_severity
30.1,18.4,22.9,69.5,0.0,0,0.0,11.7,1010.9,10,6,43,1591.55,11.7,217.5043153,0
30.1,18.0,23.1,62.2,0.0,0,0.0,16.6,1010.2,10,0,44,1436.82,12.1,210.0987792,0
31.0,17.0,22.8,63.9,0.0,0,0.0,10.9,1011.4,10,1,44,1456.92,14.0,213.6493175,0
32.0,16.0,23.7,60.4,0.0,0,0.0,16.6,1012.9,10,2,44,1431.48,16.0,204.629,0
30.1,18.9,24.5,57.8,0.0,0,0.0,14.0,1013.8,10,3,44,1416.1,11.2,197.0341279,0
25.6,11.0,17.7,61.2,0.0,0,0.0,16.6,1014.4,11,2,46,1083.24,14.6,241.5008186,0
25.1,11.0,17.1,59.4,0.0,0,0.0,14.8,1014.9,11,3,46,1015.74,14.1,242.2097112,0
25.6,9.6,17.3,59.5,0.0,0,0.0,11.2,1016.2,11,4,46,1029.35,16.0,241.1368771,0
26.3,11.2,17.2,61.5,0.0,0,0.0,7.6,1017.7,11,5,46,1057.8,15.1,245.1866666,0
25.1,9.6,16.9,58.1,0.0,0,0.0,15.8,1017.8,11,6,46,981.89,15.5,241.0200515,0
27.0,10.0,17.7,53.8,0.0,0,0.0,18.4,1016.8,11,0,47,952.26,17.0,227.3641797,0
26.5,10.6,18.1,56.1,0.0,0,0.0,19.9,1015.5,11,1,47,1015.41,15.9,229.8804587,0
27.7,11.0,18.2,55.9,0.0,0,0.0,10.7,1013.2,11,2,47,1017.38,16.7,228.8985854,0
27.7,11.0,18.9,59.7,0.0,0,0.0,13.0,1012.3,11,3,47,1128.33,16.7,231.6070805,0
26.0,12.2,18.3,69.0,0.0,0,0.0,9.4,1015.3,11,4,47,1262.7,13.8,247.4578845,0
27.0,11.6,18.3,69.8,0.0,0,0.0,10.9,1014.8,11,5,47,1277.34,15.4,248.183383,0
27.2,10.8,18.8,60.5,0.0,0,0.0,14.5,1014.6,11,6,47,1137.4,16.4,233.5006366,0
28.2,13.0,19.6,58.8,0.0,0,0.0,22.3,1013.4,11,0,48,1152.48,15.2,225.9340033,0
28.2,14.0,20.1,56.0,0.0,0,0.0,22.3,1012.0,11,1,48,1125.6,14.2,218.2136066,0
27.6,12.7,19.4,60.9,0.0,0,0.0,13.0,1014.0,11,2,48,1181.46,14.9,230.4278495,0
27.6,12.6,19.1,62.7,0.0,0,0.0,13.0,1017.2,11,3,48,1197.57,15.0,234.8749497,0
27.0,11.2,17.9,65.2,0.0,0,0.0,19.8,1017.2,11,4,48,1167.08,15.8,245.968041,0
27.2,11.0,17.7,61.5,0.0,0,0.0,19.9,1015.6,11,5,48,1088.55,16.2,241.980727,0
24.2,10.0,16.0,66.5,0.0,0,0.0,22.3,1012.0,12,4,50,1064.0,14.2,260.638633,0
24.2,9.7,15.4,73.6,0.0,0,0.0,10.4,1012.4,12,5,50,1133.44,14.5,272.4485229,0
23.6,10.9,16.3,74.0,0.0,0,0.0,13.0,1014.3,12,6,50,1206.2,12.7,265.9156537,0
24.0,10.4,15.7,83.3,0.0,0,0.0,6.6,1015.1,12,0,51,1307.81,13.6,273.4692086,0
23.0,10.0,15.3,87.8,0.0,0,0.0,8.6,1014.1,12,1,51,1343.34,13.0,275.7044349,1
